dataset,model,sensitive,compression,seed,group,n,selection_rate,mean_entropy,mean_variance,mutual_information,ece,selection_disparity,entropy_disparity,variance_disparity,mi_disparity,ece_disparity,spearman_entropy_ece,spearman_mi_ece,spearman_entropy_selection,config_hash,python,versions
adult,logreg,sex,none,2,Female,3969,0.082137,0.218067,0.000497,0.001729,0.013578,0.165255,0.156394,0.000595,0.001283,0.000267,nan,nan,nan,53c2f826617b,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,sex,none,2,Male,8242,0.247391,0.374461,0.001092,0.003013,0.013844,0.165255,0.156394,0.000595,0.001283,0.000267,nan,nan,nan,53c2f826617b,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,sex,prune:0.5,2,Female,3969,0.082137,0.220059,0.000497,0.001745,0.015579,0.157854,0.15354,0.000586,0.001254,0.002158,nan,nan,nan,089004680288,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,sex,prune:0.5,2,Male,8242,0.23999,0.373599,0.001083,0.002999,0.013421,0.157854,0.15354,0.000586,0.001254,0.002158,nan,nan,nan,089004680288,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,sex,prune:0.9,2,Female,3969,0.037793,0.21454,0.000504,0.001797,0.015937,0.108288,0.188079,0.000606,0.001201,0.022099,nan,nan,nan,2dc8a489a0c1,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,sex,prune:0.9,2,Male,8242,0.146081,0.402619,0.00111,0.002997,0.038037,0.108288,0.188079,0.000606,0.001201,0.022099,nan,nan,nan,2dc8a489a0c1,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,none,2,Amer-Indian-Eskimo,112,0.044643,0.27096,0.000602,0.001791,0.055142,0.216468,0.111799,0.000638,0.001375,0.055702,-0.4,-0.1,0.6,cfdf4fa27aab,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,none,2,Asian-Pac-Islander,360,0.261111,0.313076,0.001072,0.002884,0.019765,0.216468,0.111799,0.000638,0.001375,0.055702,-0.4,-0.1,0.6,cfdf4fa27aab,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,none,2,Black,1198,0.09015,0.22486,0.000433,0.001509,0.017358,0.216468,0.111799,0.000638,0.001375,0.055702,-0.4,-0.1,0.6,cfdf4fa27aab,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
adult,logreg,race,none,2,Other,99,0.131313,0.242235,0.000785,0.002369,0.065676,0.216468,0.111799,0.000638,0.001375,0.055702,-0.4,-0.1,0.6,cfdf4fa27aab,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.5"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.13.0""}"
