dataset,model,sensitive,compression,metric,n_pairs,mean_diff,std_diff,ci_lo,ci_hi,t_stat,p_value,cohens_dz,ci_excludes_zero
adult,mlp,sex,prune:0.9,equalized_odds_difference,10,-0.061037,0.065747,-0.108069,-0.014004,-2.935716,0.016602,-0.928355,True
adult,mlp,sex,prune:0.9,disparate_impact_ratio,10,0.569951,0.128419,0.478085,0.661816,14.03484,0.0,4.438206,True
adult,mlp,sex,prune:0.9,accuracy,10,-0.339325,0.25623,-0.522621,-0.156029,-4.187797,0.002349,-1.324298,True
adult,mlp,sex,prune:0.9,balanced_accuracy,10,-0.254067,0.012739,-0.26318,-0.244954,-63.066244,0.0,-19.943297,True
adult,mlp,sex,prune:0.9,positive_prediction_rate,10,0.295987,0.493815,-0.057267,0.649241,1.895433,0.090547,0.599388,False
adult,mlp,sex,prune:0.9,mean_ece_per_group,10,0.255186,0.104853,0.180178,0.330193,7.696179,3e-05,2.433746,True
adult,mlp,sex,prune:0.9,ece_disparity,10,0.14256,0.042381,0.112242,0.172877,10.637118,2e-06,3.363752,True
compas,logreg,race,int8,demographic_parity_difference,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
compas,logreg,race,int8,equalized_odds_difference,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
compas,logreg,race,int8,disparate_impact_ratio,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
compas,logreg,race,int8,accuracy,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
compas,logreg,race,int8,balanced_accuracy,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
compas,logreg,race,int8,positive_prediction_rate,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
compas,logreg,race,prune:0.3,demographic_parity_difference,10,0.018172,0.052319,-0.019255,0.055599,1.098368,0.300557,0.347335,False
compas,logreg,race,prune:0.3,equalized_odds_difference,10,0.025484,0.078901,-0.030959,0.081927,1.021376,0.333745,0.322988,False
compas,logreg,race,prune:0.3,disparate_impact_ratio,10,-0.005488,0.017354,-0.017902,0.006926,-1.0,0.343436,-0.316228,False
compas,logreg,race,prune:0.3,accuracy,10,0.000907,0.001651,-0.000274,0.002088,1.738182,0.116183,0.549662,False
compas,logreg,race,prune:0.3,balanced_accuracy,10,0.001068,0.001869,-0.000269,0.002405,1.806469,0.104317,0.571256,False
compas,logreg,race,prune:0.3,positive_prediction_rate,10,0.001685,0.0049,-0.00182,0.00519,1.08745,0.305101,0.343882,False
compas,logreg,race,prune:0.3,mean_ece_per_group,10,0.001367,0.001634,0.000198,0.002536,2.644462,0.026718,0.836252,True
compas,logreg,race,prune:0.3,ece_disparity,10,0.000884,0.004871,-0.002601,0.004368,0.573626,0.58027,0.181397,False
compas,logreg,race,prune:0.5,demographic_parity_difference,10,-0.103762,0.234015,-0.271166,0.063642,-1.402155,0.194405,-0.4434,False
compas,logreg,race,prune:0.5,equalized_odds_difference,10,-0.003886,0.210976,-0.154809,0.147037,-0.058248,0.954824,-0.01842,False
compas,logreg,race,prune:0.5,disparate_impact_ratio,10,0.019993,0.074548,-0.033335,0.073322,0.848095,0.418369,0.268191,False
compas,logreg,race,prune:0.5,accuracy,10,6.5e-05,0.003268,-0.002273,0.002403,0.062695,0.95138,0.019826,False
compas,logreg,race,prune:0.5,balanced_accuracy,10,-5.8e-05,0.003496,-0.002559,0.002443,-0.052729,0.9591,-0.016674,False
compas,logreg,race,prune:0.5,positive_prediction_rate,10,-0.001361,0.00526,-0.005124,0.002402,-0.818334,0.434298,-0.25878,False
compas,logreg,race,prune:0.5,mean_ece_per_group,10,-0.001942,0.029792,-0.023254,0.01937,-0.206166,0.841249,-0.065195,False
compas,logreg,race,prune:0.5,ece_disparity,10,-0.001105,0.128098,-0.092741,0.090531,-0.027279,0.978833,-0.008626,False
compas,logreg,race,prune:0.7,demographic_parity_difference,10,-0.153217,0.250133,-0.332151,0.025718,-1.937026,0.084713,-0.612541,False
compas,logreg,race,prune:0.7,equalized_odds_difference,10,-0.111518,0.277719,-0.310186,0.08715,-1.269811,0.235999,-0.40155,False
compas,logreg,race,prune:0.7,disparate_impact_ratio,10,-0.007112,0.156593,-0.119132,0.104908,-0.143624,0.888962,-0.045418,False
compas,logreg,race,prune:0.7,accuracy,10,-0.047246,0.008194,-0.053108,-0.041384,-18.232394,0.0,-5.765589,True
compas,logreg,race,prune:0.7,balanced_accuracy,10,-0.056008,0.007998,-0.061729,-0.050287,-22.145682,0.0,-7.003079,True
compas,logreg,race,prune:0.7,positive_prediction_rate,10,-0.092223,0.006401,-0.096802,-0.087644,-45.557271,0.0,-14.406474,True
compas,logreg,race,prune:0.7,mean_ece_per_group,10,0.002422,0.038419,-0.025061,0.029906,0.199399,0.846383,0.063055,False
compas,logreg,race,prune:0.7,ece_disparity,10,0.046868,0.122345,-0.040652,0.134389,1.211412,0.256584,0.383082,False
compas,logreg,race,prune:0.9,demographic_parity_difference,10,-0.625103,0.26424,-0.814129,-0.436078,-7.480897,3.8e-05,-2.365668,True
compas,logreg,race,prune:0.9,equalized_odds_difference,10,-0.84678,0.203853,-0.992608,-0.700952,-13.135684,0.0,-4.153868,True
compas,logreg,race,prune:0.9,disparate_impact_ratio,10,0.888409,0.12859,0.796421,0.980397,21.847732,0.0,6.90886,True
compas,logreg,race,prune:0.9,accuracy,10,-0.135191,0.006402,-0.139771,-0.130611,-66.773333,0.0,-21.115582,True
compas,logreg,race,prune:0.9,balanced_accuracy,10,-0.166775,0.006322,-0.171297,-0.162253,-83.422437,0.0,-26.380491,True
compas,logreg,race,prune:0.9,positive_prediction_rate,10,-0.33558,0.00827,-0.341496,-0.329664,-128.313229,0.0,-40.576206,True
compas,logreg,race,prune:0.9,mean_ece_per_group,10,0.006874,0.052406,-0.030615,0.044363,0.414795,0.688005,0.13117,False
compas,logreg,race,prune:0.9,ece_disparity,10,0.002262,0.186248,-0.130972,0.135496,0.038404,0.970204,0.012145,False
compas,logreg,sex,int8,demographic_parity_difference,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
compas,logreg,sex,int8,equalized_odds_difference,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
