dataset,model,sensitive,compression,top_k,n_features,n_groups,n_flips,flip_rate,flipped_features,seed,config_hash,python,versions
compas,logreg,race,prune:0.3,3,5,6,0,0.0,,5,56a8e36342a0,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.5,3,5,6,0,0.0,,5,c6afd5989abe,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.7,3,5,6,0,0.0,,5,be0b4b75884c,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.9,3,5,6,0,0.0,,5,919e700f1353,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,none,3,5,2,0,0.0,,6,67fd0c634120,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.3,3,5,2,0,0.0,,6,ec81f7ea32a9,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.5,3,5,2,0,0.0,,6,7ff12083fcf1,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.7,3,5,2,0,0.0,,6,26ffab66af90,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.9,3,5,2,0,0.0,,6,d3be0c9c6bdc,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,3,5,6,0,0.0,,6,49f989c2fd5c,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.3,3,5,6,0,0.0,,6,a17f8572d6dc,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.5,3,5,6,0,0.0,,6,643a0ebe03bd,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.7,3,5,6,0,0.0,,6,9b627bc36b8d,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.9,3,5,6,0,0.0,,6,fa20c02fb3b2,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,none,3,5,2,0,0.0,,7,c0b2085f74d2,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.3,3,5,2,0,0.0,,7,7573a4c8cf02,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.5,3,5,2,0,0.0,,7,a81ba6b46d4b,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.7,3,5,2,0,0.0,,7,97feeef3dcf7,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.9,3,5,2,0,0.0,,7,4addd5a479ce,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,3,5,6,2,0.666667,juv_fel_count|juv_other_count,7,1c7292b7c0d9,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.3,3,5,6,0,0.0,,7,4e2182c7638d,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.5,3,5,6,0,0.0,,7,3ffd24d0b83b,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.7,3,5,6,0,0.0,,7,b619321aeda4,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.9,3,5,6,0,0.0,,7,c811ef03e7af,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,none,3,5,2,0,0.0,,8,c71d33198e00,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.3,3,5,2,0,0.0,,8,d54f7cbdaac8,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.5,3,5,2,0,0.0,,8,8de6b6921219,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.7,3,5,2,0,0.0,,8,fb3c478d09ca,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.9,3,5,2,0,0.0,,8,6461ba42769c,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,3,5,6,0,0.0,,8,fd1a08606523,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.3,3,5,6,0,0.0,,8,427de2a14dfa,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.5,3,5,6,0,0.0,,8,a05911ebf074,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.7,3,5,6,0,0.0,,8,a293d34ccc4f,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.9,3,5,6,0,0.0,,8,47756d747b44,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,none,3,5,2,0,0.0,,9,f48a0e4987ef,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.3,3,5,2,0,0.0,,9,e7d4eef65b59,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.5,3,5,2,0,0.0,,9,89c57dda3c38,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.7,3,5,2,0,0.0,,9,ab42ee74b998,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.9,3,5,2,0,0.0,,9,dfefcc793201,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,none,3,5,6,2,0.666667,juv_fel_count|juv_other_count,9,9dc19e816783,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.3,3,5,6,0,0.0,,9,272ba9a51521,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.5,3,5,6,0,0.0,,9,70874b44bdd8,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.7,3,5,6,0,0.0,,9,5f58fbf1eeb0,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.9,3,5,6,0,0.0,,9,9bfd1d6592f6,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,mlp,sex,none,3,5,2,0,0.0,,0,bad525ff2f33,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,mlp,sex,prune:0.3,3,5,2,0,0.0,,0,848c7f339525,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,mlp,sex,prune:0.5,3,5,2,0,0.0,,0,b172b18c00d3,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,mlp,sex,prune:0.7,3,5,2,0,0.0,,0,2dfdffbe3cdc,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,mlp,sex,prune:0.9,3,5,2,0,0.0,,0,e5f0782f00c8,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,mlp,race,none,3,5,6,2,0.666667,juv_misd_count|juv_other_count,0,1b0cd0ba0bea,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,mlp,race,prune:0.3,3,5,6,2,0.666667,juv_misd_count|juv_other_count,0,1ee323ea4ac5,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,mlp,race,prune:0.5,3,5,6,3,1.0,juv_fel_count|juv_misd_count|juv_other_count,0,cdf6a3462867,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,mlp,race,prune:0.7,3,5,6,2,0.666667,juv_fel_count|juv_other_count,0,01bab8998eab,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,mlp,race,prune:0.9,3,5,6,4,1.333333,juv_fel_count|juv_misd_count|juv_other_count|priors_count,0,31a1687516f1,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,mlp,sex,none,3,5,2,0,0.0,,1,2e2adb242f46,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,mlp,sex,prune:0.3,3,5,2,0,0.0,,1,21f25a9e6ea6,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,mlp,sex,prune:0.5,3,5,2,0,0.0,,1,c0b75b408540,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,mlp,sex,prune:0.7,3,5,2,0,0.0,,1,9adc43c7866f,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,mlp,sex,prune:0.9,3,5,2,0,0.0,,1,cf20650d4545,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,mlp,race,none,3,5,6,0,0.0,,1,3f54630b38fa,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,mlp,race,prune:0.3,3,5,6,0,0.0,,1,6808f5e37802,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,mlp,race,prune:0.5,3,5,6,2,0.666667,juv_misd_count|juv_other_count,1,18a887ea2934,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
