dataset,model,sensitive,sparsity,seed,binning,n_bins,mean_ece_per_group,ece_disparity,min_group_ece,max_group_ece,n_groups_scored,mean_confidence,std_confidence,n_distinct_confidence,python,versions
adult,mlp,sex,0.7,0,equal_width,10,0.262582,0.040322,0.242421,0.282743,2,0.767756,0.159709,11585,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.7,0,equal_width,15,0.262582,0.040322,0.242421,0.282743,2,0.767756,0.159709,11585,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.7,0,equal_mass,10,0.262582,0.040322,0.242421,0.282743,2,0.767756,0.159709,11585,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.7,0,equal_mass,15,0.262582,0.040322,0.242421,0.282743,2,0.767756,0.159709,11585,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.7,1,equal_width,10,0.284109,0.07202,0.248099,0.32012,2,0.743085,0.151714,9951,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.7,1,equal_width,15,0.285294,0.069651,0.250469,0.32012,2,0.743085,0.151714,9951,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.7,1,equal_mass,10,0.284109,0.07202,0.248099,0.32012,2,0.743085,0.151714,9951,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.7,1,equal_mass,15,0.284109,0.07202,0.248099,0.32012,2,0.743085,0.151714,9951,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.7,2,equal_width,10,0.237027,0.004842,0.234606,0.239448,2,0.737285,0.144518,9849,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.7,2,equal_width,15,0.237027,0.004842,0.234606,0.239448,2,0.737285,0.144518,9849,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.7,2,equal_mass,10,0.237027,0.004842,0.234606,0.239448,2,0.737285,0.144518,9849,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.7,2,equal_mass,15,0.237027,0.004842,0.234606,0.239448,2,0.737285,0.144518,9849,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.7,3,equal_width,10,0.040762,0.025502,0.028011,0.053513,2,0.83702,0.171815,9376,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.7,3,equal_width,15,0.041329,0.025399,0.02863,0.054029,2,0.83702,0.171815,9376,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
adult,mlp,sex,0.7,3,equal_mass,10,0.041118,0.028743,0.026747,0.05549,2,0.83702,0.171815,9376,3.11.15,"{""tinyaudit"": ""0.1.0"", ""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0""}"
