dataset,model,sensitive,compression,demographic_parity_difference_mean,demographic_parity_difference_std,equalized_odds_difference_mean,equalized_odds_difference_std,disparate_impact_ratio_mean,disparate_impact_ratio_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,positive_prediction_rate_mean,positive_prediction_rate_std,mean_predicted_prob_mean,mean_predicted_prob_std,std_predicted_prob_mean,std_predicted_prob_std,mean_group_predictive_entropy_mean,mean_group_predictive_entropy_std,mean_group_predictive_variance_mean,mean_group_predictive_variance_std,mean_group_mutual_information_mean,mean_group_mutual_information_std,mean_ece_per_group_mean,mean_ece_per_group_std,entropy_disparity_mean,entropy_disparity_std,variance_disparity_mean,variance_disparity_std,mi_disparity_mean,mi_disparity_std,ece_disparity_mean,ece_disparity_std,selective_fairness_auc_mean,selective_fairness_auc_std,n_params_mean,n_params_std,flops_mean,flops_std,peak_ram_bytes_mean,peak_ram_bytes_std,n_seeds,skip_reason
adult,logreg,sex,prune:0.7,0.1538703,0.014125187165328306,0.0786425,0.034319740060690045,0.3273717,0.03990839728692587,0.8479568000000001,0.0027843249251639055,0.7469089999999999,0.006704884769910499,0.17746299999999998,0.0057260607362789664,0.2306828,0.0033477263196251745,0.27417820000000004,0.0027434152600160316,0.3038938,0.0075421517825559,0.0011795,0.00033517897375050904,0.0034995,0.0009471949523607999,0.0134933,0.0029973780412590966,0.1571135,0.007970121221021533,0.0009338,0.00037627554915100307,0.0018946000000000002,0.000911963839439067,0.006042199999999999,0.005259416080812688,0.0915857,0.009092047319254096,102.0,0.0,1245522.0,0.0,295332.4,45.536798306422064,10,
adult,logreg,sex,prune:0.9,0.1259456,0.013855041290286925,0.12705950000000002,0.03514711970259994,0.22879810000000003,0.02135336361455862,0.8248219999999999,0.004717109566955888,0.674994,0.013453565673580106,0.121407,0.011047882431589422,0.2108664,0.005611252884457559,0.2421979,0.006324566642159058,0.3124556,0.011101221045953071,0.0011598000000000001,0.000380408201804325,0.0033862999999999996,0.0010190581762915534,0.0263937,0.0042742877262377495,0.1862917,0.012513287977630468,0.0010975,0.00046020460425530055,0.0021684,0.0010486560923391426,0.015290799999999998,0.005983843298601847,0.0776154,0.007778301231274377,102.0,0.0,1245522.0,0.0,295343.2,34.152598729818266,10,
adult,majority,race,none,0.0,0.0,0.0,0.0,1.0,0.0,0.760708,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,12211.0,0.0,98090.0,0.0,10,
adult,majority,sex,none,0.0,0.0,0.0,0.0,1.0,0.0,0.760708,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,0.0,12211.0,0.0,98090.0,0.0,10,
adult,mlp,race,int8,0.1509991,0.023701118292650713,0.21077249999999997,0.08389520593143436,0.39796549999999997,0.06614575847869779,0.8368027,0.002329296414990756,0.7579688,0.008549878099195989,0.21429840000000003,0.011397135373027346,0.23840560000000002,0.008811808720877536,0.3243577,0.007285817090606767,,,,,,,,,,,,,,,,,,,4353.0,0.0,53154483.0,0.0,13277664.0,0.0,10,
adult,mlp,race,none,0.1518697,0.025316766052251704,0.22358700000000004,0.09805846372785303,0.38981530000000003,0.07612408560596604,0.8377363000000001,0.0024078824745222384,0.7585588999999999,0.0077865003471107395,0.2133324,0.009203698099737466,0.2372256,0.007184832143713125,0.32389330000000005,0.005913316667582681,0.2419406,0.020189689597525873,0.0231458,0.004019213571500441,0.06798420000000001,0.01128229245617515,0.049824400000000005,0.005922956922949139,0.11463430000000001,0.009421369728795636,0.0231947,0.004498557374932052,0.0661173,0.011934017317921259,0.0774035,0.015437956069736405,0.1022807,0.026372580879264227,4353.0,0.0,53154483.0,0.0,6253174.4,27.885480092707596,10,
adult,mlp,race,prune:0.3,0.1744514,0.07062479627062061,0.20559639999999998,0.08252760003942115,0.5983552,0.1578492743655584,0.6583573,0.10598608888596864,0.6803229,0.07413262357341589,0.44810419999999995,0.2338011961022536,0.44122760000000005,0.21697692967236043,0.3475988,0.10265587251135058,0.2793341,0.08165216863752676,0.0269448,0.009022415663224566,0.0787323,0.025068698969254687,0.21763349999999998,0.11962215095434643,0.0851614,0.022197064596723392,0.0162526,0.00773753761003245,0.0480254,0.021328954213046224,0.12043129999999999,0.02693113842149599,0.19916830000000002,0.09690958905432308,4353.0,0.0,53154483.0,0.0,6253196.0,0.0,10,
adult,mlp,race,prune:0.5,0.13611089999999998,0.06297822518837584,0.21198519999999998,0.1227510438976205,0.5762156,0.24937137469476234,0.6493407,0.0998632591898097,0.6372983,0.06227122135741714,0.40531490000000003,0.22891341085535669,0.4018892,0.20624424028579966,0.3262695,0.09752332829095017,0.2817589,0.09844739268422614,0.0208596,0.008198992528895784,0.061011100000000006,0.022615370414585053,0.21464789999999997,0.10578124419915952,0.0866217,0.0209237805541393,0.012942100000000002,0.003821544901389141,0.0384349,0.010857782323701689,0.1250152,0.03757795740649623,0.1552716,0.10139233300534448,4353.0,0.0,53154483.0,0.0,6253196.0,0.0,10,
adult,mlp,race,prune:0.7,0.1329639,0.081981362175192,0.21162609999999998,0.08845290133857175,0.6974788999999999,0.22598869312101533,0.5456636,0.15259230240830193,0.5807648999999999,0.06845128121915944,0.5252068,0.2730735708932667,0.4935128000000001,0.18633495130472258,0.2908287,0.04107289528265569,0.3884201,0.08519460521189773,0.0122075,0.003262391973520179,0.0352353,0.008750877328080374,0.2746162,0.13936510295766297,0.1297699,0.032626010970968816,0.0070428,0.00230666699421963,0.0202783,0.005325453909709899,0.1436919,0.046610218394324936,0.1502283,0.09581089166808403,4353.0,0.0,53154483.0,0.0,6253179.8,26.084478143134742,10,
adult,mlp,race,prune:0.9,0.0217708,0.037183451703980124,0.061515200000000006,0.1128393475874243,0.7954152999999999,0.3583728376949998,0.49781339999999996,0.2543611260992703,0.5046383,0.011035684422716033,0.5106708,0.48811475324941095,0.4994099,0.10546632437939611,0.0814218,0.06526081341101005,0.6478948,0.03839235954023492,0.0013379,0.0016641218872292846,0.0036811000000000005,0.00477315799142571,0.3137809,0.10737987004653671,0.020879,0.022786607172732946,0.0008036,0.0009691407649161304,0.0023115,0.002724794110468614,0.150503,0.02215221379456239,0.039341100000000004,0.06206728059390247,4353.0,0.0,53154483.0,0.0,6253185.2,22.768399153234146,10,
