dataset,model,sensitive,compression,group,top_k,top_features,top_importances,seed,config_hash,python,versions
compas,logreg,race,prune:0.5,Other,3,priors_count|age|juv_fel_count,0.108989|0.100687|0.000000,1,bb35544edc8c,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.5,Native American,3,age|priors_count|juv_fel_count,0.113112|0.064071|0.000000,1,bb35544edc8c,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.7,Caucasian,3,priors_count|age|juv_fel_count,0.102556|0.000000|0.000000,1,0f1b81609901,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.7,African-American,3,priors_count|age|juv_fel_count,0.129634|0.000000|0.000000,1,0f1b81609901,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.7,Hispanic,3,priors_count|age|juv_fel_count,0.111909|0.000000|0.000000,1,0f1b81609901,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.7,Asian,3,priors_count|age|juv_fel_count,0.098626|0.000000|0.000000,1,0f1b81609901,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.7,Other,3,priors_count|age|juv_fel_count,0.112912|0.000000|0.000000,1,0f1b81609901,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.7,Native American,3,priors_count|age|juv_fel_count,0.061126|0.000000|0.000000,1,0f1b81609901,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.9,Caucasian,3,age|juv_fel_count|juv_misd_count,0.000000|0.000000|0.000000,1,53b3deaad60d,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.9,African-American,3,age|juv_fel_count|juv_misd_count,0.000000|0.000000|0.000000,1,53b3deaad60d,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.9,Hispanic,3,age|juv_fel_count|juv_misd_count,0.000000|0.000000|0.000000,1,53b3deaad60d,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.9,Asian,3,age|juv_fel_count|juv_misd_count,0.000000|0.000000|0.000000,1,53b3deaad60d,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.9,Other,3,age|juv_fel_count|juv_misd_count,0.000000|0.000000|0.000000,1,53b3deaad60d,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,race,prune:0.9,Native American,3,age|juv_fel_count|juv_misd_count,0.000000|0.000000|0.000000,1,53b3deaad60d,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,none,Male,3,priors_count|age|juv_other_count,0.117452|0.087091|0.012904,2,00f9ffcd4158,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,none,Female,3,priors_count|age|juv_other_count,0.095499|0.088321|0.008982,2,00f9ffcd4158,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.3,Male,3,priors_count|age|juv_other_count,0.118067|0.087282|0.012957,2,29e328cf0ce4,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.3,Female,3,priors_count|age|juv_other_count,0.095577|0.088449|0.008988,2,29e328cf0ce4,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.5,Male,3,priors_count|age|juv_fel_count,0.119374|0.088130|0.000000,2,08f33af5ab44,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.5,Female,3,priors_count|age|juv_fel_count,0.096146|0.089224|0.000000,2,08f33af5ab44,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.7,Male,3,priors_count|age|juv_fel_count,0.122707|0.000000|0.000000,2,804b6f62f78a,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
compas,logreg,sex,prune:0.7,Female,3,priors_count|age|juv_fel_count,0.100756|0.000000|0.000000,2,804b6f62f78a,3.11.15,"{""numpy"": ""1.26.4"", ""pandas"": ""3.0.3"", ""scikit-learn"": ""1.9.0"", ""torch"": ""2.12.0""}"
